Iteración,1,2,3,4,5,6,7,8,9,10
1983,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1984,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1985,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1986,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1987,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1988,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1989,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1990,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1991,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1992,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1993,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1994,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1995,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1996,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1997,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1998,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1999,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2000,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2001,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2002,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2003,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2004,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2005,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2006,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
